cycle,state,district,dem_pct,rep_pct,dem_margin,winner
2022,WI,2,70.99,26.92,45.02,D
2022,MN,8,42.72,57.18,-14.48,R
2022,MN,5,74.33,24.53,50.37,D
2022,SC,3,0.0,97.64,-100.0,R
2022,SC,1,42.47,56.39,-14.08,R
2022,RI,1,64.01,35.76,28.31,D
2022,IL,14,54.16,45.84,8.32,D
2022,IL,13,56.61,43.38,13.23,D
2022,IL,10,63.0,37.0,26.0,D
2022,IL,7,99.94,0.0,100.0,D
2022,IL,6,54.36,45.64,8.72,D
2022,IL,5,69.57,28.82,41.42,D
2022,NV,1,51.57,45.96,5.75,D
2022,NC,9,43.5,56.5,-13.0,R
2022,NC,4,66.91,33.09,33.81,D
2022,FL,23,51.59,46.83,4.83,D
2022,FL,18,0.0,74.67,-100.0,R
2022,FL,17,35.52,63.84,-28.5,R
2022,FL,10,59.0,39.44,19.87,D
2022,FL,6,0.0,75.33,-100.0,R
2022,FL,5,0.0,0.0,,R
2022,FL,4,39.55,60.45,-20.9,R
2022,CO,8,48.38,47.69,0.72,D
2022,CO,5,40.29,55.95,-16.28,R
2022,CO,3,49.92,50.08,-0.17,R
2022,CO,1,80.3,17.53,64.17,D
2022,AZ,8,0.0,96.5,-100.0,R
2022,AZ,4,56.1,43.89,12.21,D
2022,AZ,1,49.56,50.44,-0.88,R
2022,MI,11,61.32,38.68,22.64,D
2022,MI,7,51.73,46.32,5.52,D
2022,MI,6,65.89,34.11,31.78,D
2022,MI,3,54.87,41.96,13.33,D
2022,MA,9,59.17,40.78,18.4,D
2022,MA,5,74.0,25.93,48.1,D
2022,MA,1,61.48,38.37,23.14,D
2022,KS,4,36.66,63.34,-26.68,R
2022,KS,3,54.94,42.76,12.46,D
2022,HI,2,62.21,35.31,27.59,D
2022,GA,14,34.14,65.86,-31.73,R
2022,GA,12,40.4,59.6,-19.19,R
2022,GA,8,31.42,68.58,-37.15,R
2022,GA,4,78.49,21.51,56.97,D
2022,AL,5,29.55,67.09,-38.84,R
2022,AL,4,13.64,84.12,-72.1,R
2022,IN,6,32.47,67.53,-35.06,R
2022,IN,5,38.93,61.07,-22.14,R
2022,IN,2,32.39,64.59,-33.2,R
2022,PA,16,40.64,59.36,-18.72,R
2022,PA,15,30.06,69.94,-39.88,R
2022,PA,9,30.69,69.31,-38.62,R
2022,PA,7,50.98,49.02,1.97,D
2022,PA,4,61.29,38.71,22.58,D
2022,CA,33,57.71,42.29,15.42,D
2022,CA,30,71.11,0.0,100.0,D
2022,CA,27,46.76,53.24,-6.48,R
2022,CA,24,60.57,39.43,21.13,D
2022,CA,20,32.75,67.25,-34.49,R
2022,CA,11,83.95,16.05,67.9,D
2022,CA,10,78.93,0.0,100.0,D
2022,CA,9,54.82,45.18,9.63,D
2022,CA,2,74.4,25.6,48.81,D
2022,CA,1,37.93,62.07,-24.15,R
2022,TN,5,42.32,55.84,-13.77,R
2022,TN,1,19.71,78.32,-59.79,R
2022,NY,26,57.85,28.75,33.6,D
2022,NY,23,35.05,54.87,-22.05,R
2022,NY,19,43.25,45.18,-2.19,R
2022,NY,10,83.49,13.89,71.48,D
2022,NY,2,37.46,52.52,-16.73,R
2022,NY,1,42.37,48.29,-6.53,R
2022,OH,11,77.75,22.25,55.51,D
2022,OH,6,32.28,67.72,-35.45,R
2022,OH,4,30.81,69.19,-38.39,R
2022,OH,2,25.5,74.5,-49.01,R
2022,OH,1,52.76,47.24,5.52,D
2022,KY,5,17.82,82.17,-64.35,R
2022,KY,4,31.04,65.03,-35.38,R
2022,MD,7,82.06,17.71,64.49,D
2022,MD,6,54.72,45.15,9.58,D
2022,MD,3,60.19,39.71,20.5,D
2022,MD,2,59.23,40.63,18.62,D
2022,VT,1,62.58,27.8,38.49,D
2022,WA,9,71.61,28.2,43.49,D
2022,WA,3,50.14,49.31,0.83,D
2022,NJ,12,63.12,35.91,27.48,D
2022,NJ,7,48.6,51.4,-2.8,R
2022,WI,8,0.0,72.21,-100.0,R
2022,NY,22,49.48,43.38,6.57,R
2022,WV,2,34.43,65.57,-31.14,R
2022,VA,9,26.54,73.24,-46.8,R
2022,VA,4,64.92,34.9,30.07,D
2022,OH,15,43.04,56.96,-13.92,R
2022,OH,14,38.26,61.74,-23.48,R
2022,OH,12,30.73,69.27,-38.54,R
2022,OH,9,56.63,43.37,13.27,D
2022,OH,8,35.36,64.64,-29.28,R
2022,OH,5,33.09,66.91,-33.82,R
2022,KY,6,33.63,62.7,-30.18,R
2022,KY,3,61.99,38.0,24.0,D
2022,KY,1,25.1,74.9,-49.81,R
2022,MD,5,65.9,33.94,32.0,D
2022,MD,1,43.13,54.43,-11.59,R
2022,WA,7,85.39,14.2,71.49,D
2022,NJ,11,58.99,40.18,18.97,D
2022,NY,25,49.54,38.25,12.85,D
2022,PA,1,45.13,54.87,-9.73,R
2022,NJ,3,55.46,43.64,11.93,D
2022,LA,1,25.19,72.8,-48.59,R
2022,SD,1,0.0,77.42,-100.0,R
2022,WI,7,38.1,61.85,-23.76,R
2022,WI,4,75.27,22.61,53.8,D
2022,WI,3,48.12,51.82,-3.7,R
2022,NE,2,48.67,51.33,-2.67,R
2022,NE,1,42.09,57.91,-15.82,R
2022,MS,1,27.03,72.97,-45.95,R
2022,MN,7,27.61,66.95,-41.6,R
2022,MN,2,50.87,45.65,5.41,D
2022,MN,1,42.31,53.83,-11.98,R
2022,SC,4,0.0,90.81,-100.0,R
2022,SC,2,39.85,60.01,-20.19,R
2022,OK,3,25.46,74.54,-49.08,R
2022,IL,12,25.0,75.0,-50.0,R
2022,IL,3,68.5,31.5,37.0,D
2022,NC,7,42.29,57.71,-15.42,R
2022,NC,6,53.88,45.03,8.95,D
2022,NC,2,64.68,35.32,29.36,D
2022,FL,27,42.71,57.29,-14.59,R
2022,FL,21,36.5,63.5,-27.01,R
2022,FL,16,37.85,62.14,-24.3,R
2022,FL,15,41.46,58.54,-17.09,R
2022,FL,14,56.9,43.1,13.8,D
2022,FL,9,53.64,46.36,7.27,D
2022,FL,7,41.47,58.53,-17.07,R
2022,FL,3,36.29,62.52,-26.54,R
2022,CO,6,60.6,37.43,23.64,D
2022,AZ,7,64.54,35.46,29.09,D
2022,MI,13,71.08,23.97,49.57,D
2022,MI,5,34.97,62.42,-28.18,R
2022,MA,6,62.88,35.16,28.28,D
2022,ID,2,36.41,63.59,-27.18,R
2022,ID,1,26.33,71.34,-46.09,R
2022,HI,1,73.7,26.3,47.41,D
2022,GA,11,37.4,62.6,-25.2,R
2022,GA,10,35.47,64.53,-29.07,R
2022,GA,9,27.65,72.35,-44.71,R
2022,GA,7,61.05,38.95,22.11,D
2022,DE,1,55.47,42.96,12.7,D
2022,AR,4,26.19,71.0,-46.11,R
2022,TX,30,74.72,21.72,54.95,D
2022,TX,21,37.16,62.84,-25.68,R
2022,TX,25,0.0,100.0,-100.0,R
2022,TX,28,56.65,43.35,13.3,D
2022,TX,32,65.36,34.64,30.71,D
2022,TX,33,71.98,25.61,47.52,D
2022,TX,20,68.42,31.57,36.85,D
2022,TX,3,36.91,60.55,-24.25,R
2022,TX,12,35.73,64.27,-28.54,R
2022,TX,7,63.79,36.21,27.59,D
2022,TX,6,0.0,100.0,-100.0,R
2022,MO,4,26.29,71.31,-46.12,R
2024,CO,7,55.33,41.15,14.7,D
2024,CO,4,42.04,53.64,-12.13,R
2024,CO,3,45.82,50.8,-5.16,R
2024,CO,1,76.53,21.58,56.02,D
2024,CA,9,51.79,48.21,3.58,D
2024,CA,7,66.75,33.25,33.5,D
2024,PA,11,37.1,62.9,-25.79,R
2024,CA,6,57.62,42.38,15.24,D
2024,CA,42,68.14,31.86,36.28,D
2024,CA,38,59.84,40.16,19.68,D
2024,CA,37,78.3,0.0,100.0,D
2024,CA,36,68.72,31.28,37.44,D
2024,CA,35,58.41,41.59,16.81,D
2024,CA,32,66.2,33.8,32.4,D
2024,CA,30,68.38,31.62,36.75,D
2024,CA,25,56.25,43.75,12.51,D
2024,CA,2,71.88,28.12,43.77,D
2024,CA,19,69.3,30.7,38.59,D
2024,CA,17,67.66,32.34,35.33,D
2024,CA,16,58.22,0.0,100.0,D
2024,CA,10,66.47,33.53,32.95,D
2024,CA,1,34.66,65.34,-30.69,R
2024,NY,22,50.0,39.82,11.33,D
2024,NC,5,40.53,59.47,-18.95,R
2024,NC,3,0.0,77.38,-100.0,R
